time,cars,avgSpeed,stoppedPct,frustrationPct,throughputPerMin,collisions,completedTrips
0.0,0,0.00,0.0,0.0,0.0,0,0
0.3,0,0.00,0.0,0.0,0.0,0,0
1.6,1,1.60,0.0,0.0,0.0,0,0
3.8,2,5.72,0.0,0.0,0.0,0,0
5.9,4,6.15,0.0,0.0,0.0,0,0
8.1,5,6.13,0.0,10.4,0.0,0,0
10.2,7,4.60,28.6,21.1,0.0,0,0
12.3,8,4.26,37.5,26.8,0.0,0,0
14.5,9,5.04,33.3,27.7,0.0,0,0
16.6,10,4.78,20.0,30.8,0.0,0,0
18.8,12,4.45,33.3,19.7,0.0,0,0
20.9,13,4.71,23.1,29.0,0.0,0,0
23.4,15,3.11,40.0,43.5,0.0,0,0
27.4,18,5.00,16.7,26.5,0.0,0,0
31.4,20,3.08,40.0,42.7,0.0,0,0
35.4,22,6.94,4.5,13.1,1.0,0,1
39.4,23,3.64,39.1,25.9,2.0,0,2
43.4,22,6.32,18.2,25.6,4.0,0,4
47.4,24,2.27,45.8,52.9,4.0,0,4
51.4,26,6.01,11.5,32.9,5.0,3,5
55.5,27,2.64,44.4,47.9,6.0,4,6
59.5,28,4.78,25.0,44.3,8.0,4,8
63.5,30,2.78,46.7,51.2,8.0,4,8
67.5,28,4.94,25.0,37.5,13.0,4,13
71.5,27,2.92,48.1,43.6,16.0,4,16
75.5,27,5.49,18.5,30.5,19.0,6,19
79.5,25,2.80,48.0,48.7,23.0,8,23
83.5,25,4.94,28.0,32.4,26.0,10,26
87.5,24,1.86,50.0,59.6,28.0,10,28
91.5,20,5.52,15.0,29.1,33.0,11,33
95.5,18,5.34,22.2,31.3,34.0,11,35
99.5,13,3.43,46.2,36.6,38.0,11,40
103.5,13,1.41,53.8,63.2,36.0,11,40
107.5,10,7.40,10.0,10.1,39.0,11,43
111.5,9,2.79,55.6,40.2,39.0,11,44
115.5,7,6.58,14.3,23.0,40.0,11,46
119.5,7,1.92,57.1,64.9,38.0,11,46
123.5,6,5.63,16.7,24.5,39.0,11,47
127.6,5,2.57,40.0,57.6,35.0,11,48
131.6,4,7.22,0.0,0.0,33.0,11,49
135.6,3,5.96,33.3,7.2,31.0,11,50
139.6,2,3.45,50.0,41.8,28.0,11,51
143.6,2,3.45,50.0,50.0,25.0,11,51
